Filesystem	Size	Used
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/dnikolaeva/1ce979ee-92a0-4264-acb7-3a037ef474e4	239G	125G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/dbolotin/94403fae-fe92-45f0-b2d2-0859eb6dc869	9.1T	73G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/dpleteneva/c4944a23-6a08-44cf-b0a7-509a92d1fe5f	239G	207G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/asmirnova/9ed2f0b2-8138-41d6-953e-a99ebe8f5dc9	1.1T	978G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/dborodko/207ebf5b-198d-4e73-9bff-d1c47dad8928	239G	213G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/azagorodnova/7e91fa18-2fe1-48b1-9163-ef52e2103b46	239G	1.7G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/dsemyonova/834bace0-4e17-498c-80f3-4326ffd0d9fb	239G	84G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/dmakarova/a0700482-d5b0-445b-836a-6db63faefa70	239G	198G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/dsarkisovs/73740efa-17b7-47a3-be11-fc4d0881e587	239G	12G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/dsenichkina/d2cb4ba0-f23f-46e1-b85f-e67970051292	239G	51G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/dshpakova/f8523c3d-5f96-457a-b229-377c30c6112b	239G	1.4G
